query,user,ip
SELECT id FROM reviews WHERE id=470,alice,192.168.1.48
SELECT user_id FROM reviews WHERE id=837,bob,192.168.1.58
SELECT price FROM logs WHERE id=979,svc,10.0.0.17
SELECT email FROM products WHERE id=20,alice,10.0.0.25
SELECT status FROM logs WHERE id=89,analyst,192.168.1.38
SELECT created_at FROM logs WHERE id=553,admin,192.168.1.29
SELECT email FROM logs WHERE id=624,alice,192.168.1.35
SELECT price FROM orders WHERE id=575,svc,192.168.1.50
SELECT user_id FROM logs WHERE id=618,admin,10.0.0.27
SELECT email FROM reviews WHERE id=767,analyst,192.168.1.50
SELECT email FROM products WHERE id=869,bob,192.168.1.42
SELECT created_at FROM reviews WHERE id=473,guest,192.168.1.38
SELECT name FROM sessions WHERE id=837,charlie,10.0.0.8
SELECT price FROM inventory WHERE id=269,charlie,192.168.1.58
SELECT email FROM logs WHERE id=808,alice,10.0.0.2
SELECT user_id FROM products WHERE id=750,svc,192.168.1.34
SELECT email FROM users WHERE id=690,alice,10.0.0.5
SELECT user_id FROM users WHERE id=406,admin,192.168.1.31
SELECT price FROM users WHERE id=794,charlie,10.0.0.10
SELECT status FROM sessions WHERE id=714,charlie,192.168.1.17
SELECT created_at FROM sessions WHERE id=345,svc,10.0.0.7
SELECT price FROM inventory WHERE id=840,admin,192.168.1.40
SELECT id FROM logs WHERE id=417,analyst,192.168.1.51
SELECT status FROM products WHERE id=973,guest,192.168.1.37
SELECT id FROM orders WHERE id=944,alice,192.168.1.40
SELECT status FROM sessions WHERE id=993,svc,10.0.0.21
SELECT status FROM reviews WHERE id=253,admin,192.168.1.43
SELECT created_at FROM logs WHERE id=993,svc,192.168.1.35
SELECT created_at FROM sessions WHERE id=529,svc,10.0.0.14
SELECT status FROM sessions WHERE id=142,analyst,10.0.0.28
SELECT price FROM logs WHERE id=378,admin,192.168.1.59
SELECT status FROM inventory WHERE id=98,alice,10.0.0.13
SELECT created_at FROM sessions WHERE id=176,admin,192.168.1.12
SELECT price FROM logs WHERE id=302,bob,10.0.0.9
SELECT status FROM logs WHERE id=938,charlie,192.168.1.12
SELECT id FROM products WHERE id=215,alice,192.168.1.26
SELECT email FROM logs WHERE id=754,admin,192.168.1.39
SELECT created_at FROM orders WHERE id=903,admin,10.0.0.20
SELECT user_id FROM products WHERE id=502,analyst,192.168.1.30
SELECT status FROM products WHERE id=11,admin,192.168.1.45
SELECT created_at FROM sessions WHERE id=660,charlie,192.168.1.42
SELECT user_id FROM inventory WHERE id=610,alice,10.0.0.13
SELECT email FROM reviews WHERE id=52,svc,10.0.0.22
SELECT email FROM products WHERE id=33,admin,192.168.1.19
SELECT price FROM orders WHERE id=481,admin,192.168.1.19
SELECT id FROM reviews WHERE id=680,analyst,192.168.1.26
SELECT id FROM sessions WHERE id=133,analyst,192.168.1.35
SELECT name FROM products WHERE id=267,analyst,192.168.1.37
SELECT email FROM users WHERE id=512,charlie,192.168.1.12
SELECT created_at FROM inventory WHERE id=513,charlie,10.0.0.7
SELECT email FROM users WHERE id=324,admin,10.0.0.27
SELECT created_at FROM sessions WHERE id=394,charlie,10.0.0.4
SELECT id FROM users WHERE id=721,guest,192.168.1.50
SELECT email FROM reviews WHERE id=293,charlie,192.168.1.28
SELECT status FROM reviews WHERE id=773,svc,10.0.0.16
SELECT user_id FROM reviews WHERE id=429,svc,192.168.1.38
SELECT name FROM sessions WHERE id=862,alice,10.0.0.27
SELECT email FROM products WHERE id=110,admin,192.168.1.33
SELECT status FROM users WHERE id=793,alice,10.0.0.20
SELECT status FROM reviews WHERE id=355,guest,192.168.1.14
SELECT status FROM inventory WHERE id=438,alice,192.168.1.56
SELECT price FROM inventory WHERE id=329,admin,192.168.1.56
SELECT user_id FROM products WHERE id=809,guest,192.168.1.45
SELECT user_id FROM sessions WHERE id=132,charlie,10.0.0.9
SELECT price FROM inventory WHERE id=684,analyst,10.0.0.11
SELECT created_at FROM products WHERE id=935,charlie,192.168.1.38
SELECT email FROM reviews WHERE id=889,analyst,192.168.1.22
SELECT status FROM sessions WHERE id=796,svc,10.0.0.4
SELECT price FROM products WHERE id=655,alice,192.168.1.40
SELECT status FROM logs WHERE id=96,analyst,10.0.0.3
SELECT created_at FROM users WHERE id=633,analyst,10.0.0.19
SELECT name FROM inventory WHERE id=846,bob,192.168.1.56
SELECT price FROM users WHERE id=554,svc,192.168.1.15
SELECT user_id FROM users WHERE id=587,alice,10.0.0.1
SELECT price FROM orders WHERE id=311,svc,10.0.0.15
SELECT price FROM inventory WHERE id=366,charlie,192.168.1.26
SELECT id FROM inventory WHERE id=354,guest,10.0.0.14
SELECT name FROM sessions WHERE id=681,svc,192.168.1.20
SELECT user_id FROM orders WHERE id=311,guest,192.168.1.42
SELECT name FROM logs WHERE id=132,analyst,192.168.1.30
SELECT id FROM orders WHERE id=174,bob,192.168.1.44
SELECT email FROM products WHERE id=132,bob,192.168.1.33
SELECT price FROM products WHERE id=14,charlie,192.168.1.54
SELECT price FROM products WHERE id=889,bob,10.0.0.9
SELECT user_id FROM reviews WHERE id=160,alice,192.168.1.22
SELECT name FROM orders WHERE id=711,svc,192.168.1.18
SELECT id FROM orders WHERE id=656,svc,10.0.0.27
SELECT email FROM logs WHERE id=398,charlie,192.168.1.31
SELECT status FROM orders WHERE id=777,charlie,192.168.1.39
SELECT user_id FROM reviews WHERE id=981,admin,10.0.0.27
SELECT id FROM products WHERE id=959,bob,192.168.1.27
SELECT price FROM users WHERE id=227,admin,192.168.1.30
SELECT name FROM reviews WHERE id=276,alice,192.168.1.55
SELECT user_id FROM sessions WHERE id=765,svc,10.0.0.8
SELECT id FROM users WHERE id=140,svc,192.168.1.11
SELECT email FROM orders WHERE id=781,alice,192.168.1.50
SELECT id FROM users WHERE id=931,admin,192.168.1.25
SELECT name FROM users WHERE id=577,svc,10.0.0.24
SELECT name FROM logs WHERE id=959,bob,192.168.1.57
SELECT status FROM sessions WHERE id=189,charlie,192.168.1.42
SELECT status FROM inventory WHERE id=202,admin,192.168.1.56
SELECT email FROM reviews WHERE id=613,admin,10.0.0.28
SELECT price FROM logs WHERE id=50,svc,192.168.1.16
SELECT created_at FROM products WHERE id=267,alice,192.168.1.25
SELECT name FROM inventory WHERE id=742,analyst,10.0.0.2
SELECT user_id FROM reviews WHERE id=747,svc,10.0.0.10
SELECT name FROM logs WHERE id=900,bob,10.0.0.24
SELECT status FROM inventory WHERE id=885,guest,192.168.1.39
SELECT email FROM reviews WHERE id=924,bob,192.168.1.13
SELECT name FROM sessions WHERE id=649,admin,10.0.0.11
SELECT price FROM reviews WHERE id=438,alice,10.0.0.20
SELECT created_at FROM logs WHERE id=675,svc,192.168.1.42
SELECT price FROM sessions WHERE id=559,charlie,192.168.1.59
SELECT created_at FROM users WHERE id=935,guest,192.168.1.52
SELECT user_id FROM inventory WHERE id=434,bob,10.0.0.8
SELECT user_id FROM inventory WHERE id=309,analyst,192.168.1.14
SELECT email FROM inventory WHERE id=227,analyst,192.168.1.40
SELECT name FROM reviews WHERE id=935,svc,192.168.1.37
SELECT status FROM reviews WHERE id=406,analyst,192.168.1.44
SELECT created_at FROM inventory WHERE id=447,guest,192.168.1.56
SELECT name FROM sessions WHERE id=943,bob,192.168.1.56
SELECT user_id FROM sessions WHERE id=277,guest,192.168.1.33
SELECT user_id FROM users WHERE id=133,analyst,10.0.0.26
SELECT created_at FROM reviews WHERE id=866,guest,192.168.1.19
SELECT status FROM users WHERE id=274,analyst,192.168.1.24
SELECT user_id FROM reviews WHERE id=282,admin,192.168.1.27
SELECT price FROM logs WHERE id=697,bob,10.0.0.15
SELECT user_id FROM users WHERE id=748,guest,192.168.1.10
SELECT name FROM products WHERE id=774,svc,192.168.1.14
SELECT created_at FROM products WHERE id=440,guest,10.0.0.20
SELECT email FROM sessions WHERE id=342,guest,192.168.1.20
SELECT name FROM inventory WHERE id=640,alice,192.168.1.40
SELECT created_at FROM products WHERE id=656,analyst,10.0.0.12
SELECT user_id FROM logs WHERE id=11,analyst,10.0.0.20
SELECT created_at FROM logs WHERE id=176,admin,192.168.1.21
SELECT user_id FROM sessions WHERE id=772,svc,192.168.1.43
SELECT email FROM logs WHERE id=781,charlie,10.0.0.3
SELECT email FROM sessions WHERE id=223,charlie,10.0.0.7
SELECT id FROM logs WHERE id=182,svc,192.168.1.43
SELECT name FROM products WHERE id=839,alice,10.0.0.5
SELECT name FROM orders WHERE id=738,alice,192.168.1.29
SELECT name FROM reviews WHERE id=703,charlie,10.0.0.8
SELECT id FROM orders WHERE id=437,svc,192.168.1.40
SELECT email FROM reviews WHERE id=413,svc,192.168.1.57
SELECT created_at FROM inventory WHERE id=3,svc,192.168.1.56
SELECT created_at FROM logs WHERE id=758,admin,192.168.1.19
SELECT price FROM users WHERE id=149,admin,10.0.0.3
SELECT user_id FROM inventory WHERE id=240,bob,10.0.0.23
SELECT created_at FROM products WHERE id=491,analyst,10.0.0.19
SELECT user_id FROM inventory WHERE id=207,svc,192.168.1.11
SELECT price FROM products WHERE id=352,guest,192.168.1.11
SELECT id FROM users WHERE id=639,charlie,192.168.1.33
SELECT status FROM sessions WHERE id=49,analyst,192.168.1.58
SELECT name FROM products WHERE id=762,charlie,10.0.0.24
SELECT email FROM users WHERE id=997,guest,10.0.0.9
SELECT name FROM logs WHERE id=404,admin,10.0.0.14
SELECT user_id FROM users WHERE id=943,guest,192.168.1.38
SELECT user_id FROM sessions WHERE id=28,svc,192.168.1.16
SELECT created_at FROM products WHERE id=95,bob,192.168.1.20
SELECT price FROM logs WHERE id=617,svc,10.0.0.7
SELECT created_at FROM users WHERE id=392,charlie,192.168.1.50
SELECT email FROM inventory WHERE id=551,analyst,192.168.1.23
SELECT id FROM users WHERE id=763,bob,192.168.1.42
SELECT user_id FROM logs WHERE id=480,svc,192.168.1.39
SELECT status FROM orders WHERE id=460,svc,192.168.1.27
SELECT user_id FROM inventory WHERE id=907,charlie,192.168.1.15
SELECT id FROM logs WHERE id=883,analyst,10.0.0.18
SELECT email FROM inventory WHERE id=575,svc,10.0.0.28
SELECT name FROM orders WHERE id=239,alice,10.0.0.5
SELECT created_at FROM sessions WHERE id=296,guest,192.168.1.40
SELECT created_at FROM products WHERE id=726,alice,192.168.1.48
SELECT name FROM orders WHERE id=514,analyst,10.0.0.1
SELECT id FROM products WHERE id=39,svc,192.168.1.45
SELECT price FROM products WHERE id=725,alice,192.168.1.19
SELECT status FROM products WHERE id=125,svc,192.168.1.35
SELECT email FROM inventory WHERE id=387,alice,10.0.0.19
SELECT user_id FROM users WHERE id=944,admin,192.168.1.58
SELECT email FROM products WHERE id=583,bob,192.168.1.39
SELECT id FROM sessions WHERE id=873,charlie,192.168.1.42
SELECT id FROM products WHERE id=502,charlie,192.168.1.29
SELECT user_id FROM sessions WHERE id=393,alice,192.168.1.15
SELECT created_at FROM inventory WHERE id=792,analyst,10.0.0.20
SELECT status FROM sessions WHERE id=192,guest,10.0.0.17
SELECT status FROM logs WHERE id=52,analyst,10.0.0.22
SELECT user_id FROM orders WHERE id=186,analyst,10.0.0.26
SELECT user_id FROM reviews WHERE id=458,guest,192.168.1.33
SELECT email FROM logs WHERE id=345,admin,192.168.1.16
SELECT status FROM sessions WHERE id=471,alice,10.0.0.16
SELECT id FROM products WHERE id=280,admin,192.168.1.47
SELECT created_at FROM orders WHERE id=474,analyst,10.0.0.3
SELECT id FROM orders WHERE id=179,svc,192.168.1.52
SELECT price FROM inventory WHERE id=666,svc,10.0.0.20
SELECT user_id FROM reviews WHERE id=152,bob,192.168.1.12
SELECT price FROM reviews WHERE id=62,analyst,10.0.0.22
SELECT price FROM inventory WHERE id=890,bob,192.168.1.48
SELECT id FROM inventory WHERE id=933,bob,192.168.1.50
SELECT id FROM users WHERE id=152,charlie,192.168.1.57
SELECT id FROM orders WHERE id=980,alice,10.0.0.10
SELECT status FROM logs WHERE id=136,analyst,10.0.0.14
SELECT user_id FROM orders WHERE id=40,alice,192.168.1.38
SELECT price FROM sessions WHERE id=237,bob,192.168.1.19
SELECT created_at FROM users WHERE id=160,guest,192.168.1.35
SELECT id FROM logs WHERE id=320,charlie,192.168.1.29
SELECT user_id FROM sessions WHERE id=127,bob,10.0.0.16
SELECT name FROM inventory WHERE id=4,analyst,192.168.1.28
SELECT name FROM logs WHERE id=371,charlie,192.168.1.29
SELECT email FROM orders WHERE id=624,analyst,192.168.1.55
SELECT name FROM inventory WHERE id=378,svc,192.168.1.23
SELECT email FROM reviews WHERE id=917,charlie,192.168.1.46
SELECT status FROM inventory WHERE id=307,analyst,192.168.1.57
SELECT email FROM inventory WHERE id=541,guest,192.168.1.34
SELECT created_at FROM inventory WHERE id=78,alice,10.0.0.9
SELECT email FROM logs WHERE id=24,bob,192.168.1.56
SELECT user_id FROM products WHERE id=98,admin,192.168.1.57
SELECT status FROM reviews WHERE id=376,analyst,10.0.0.19
SELECT id FROM products WHERE id=992,guest,10.0.0.20
SELECT id FROM orders WHERE id=565,svc,10.0.0.7
SELECT created_at FROM reviews WHERE id=162,alice,10.0.0.24
SELECT status FROM inventory WHERE id=906,charlie,192.168.1.54
SELECT created_at FROM users WHERE id=81,alice,192.168.1.59
SELECT price FROM products WHERE id=863,analyst,192.168.1.54
SELECT id FROM sessions WHERE id=489,admin,192.168.1.12
SELECT price FROM users WHERE id=27,analyst,192.168.1.22
SELECT price FROM inventory WHERE id=165,charlie,192.168.1.35
SELECT status FROM products WHERE id=349,bob,192.168.1.47
SELECT name FROM reviews WHERE id=891,alice,192.168.1.43
SELECT id FROM orders WHERE id=677,analyst,192.168.1.48
SELECT created_at FROM sessions WHERE id=90,admin,10.0.0.15
SELECT status FROM inventory WHERE id=39,analyst,192.168.1.24
SELECT id FROM products WHERE id=269,alice,192.168.1.32
SELECT id FROM reviews WHERE id=794,alice,10.0.0.5
SELECT user_id FROM sessions WHERE id=975,bob,192.168.1.54
SELECT status FROM inventory WHERE id=196,analyst,192.168.1.41
SELECT name FROM logs WHERE id=589,alice,192.168.1.46
SELECT price FROM sessions WHERE id=422,alice,10.0.0.19
SELECT id FROM inventory WHERE id=707,guest,10.0.0.22
SELECT price FROM sessions WHERE id=420,alice,192.168.1.20
SELECT created_at FROM logs WHERE id=588,analyst,10.0.0.21
SELECT status FROM reviews WHERE id=842,alice,10.0.0.14
SELECT email FROM logs WHERE id=322,guest,192.168.1.30
SELECT price FROM inventory WHERE id=616,bob,10.0.0.28
SELECT id FROM sessions WHERE id=820,svc,192.168.1.42
SELECT name FROM orders WHERE id=75,guest,192.168.1.30
SELECT user_id FROM reviews WHERE id=266,bob,192.168.1.32
SELECT email FROM inventory WHERE id=347,guest,192.168.1.29
SELECT name FROM reviews WHERE id=162,alice,10.0.0.25
SELECT status FROM reviews WHERE id=902,analyst,192.168.1.17
SELECT status FROM users WHERE id=751,analyst,10.0.0.1
SELECT name FROM reviews WHERE id=797,admin,192.168.1.12
SELECT id FROM orders WHERE id=797,admin,192.168.1.16
SELECT created_at FROM reviews WHERE id=476,alice,192.168.1.19
SELECT email FROM logs WHERE id=996,analyst,10.0.0.14
SELECT price FROM sessions WHERE id=87,admin,192.168.1.27
SELECT email FROM sessions WHERE id=94,bob,192.168.1.54
SELECT id FROM sessions WHERE id=593,guest,10.0.0.19
SELECT name FROM inventory WHERE id=622,svc,192.168.1.24
SELECT user_id FROM reviews WHERE id=778,svc,192.168.1.10
SELECT price FROM sessions WHERE id=15,admin,192.168.1.32
SELECT created_at FROM sessions WHERE id=250,alice,192.168.1.51
SELECT status FROM inventory WHERE id=610,bob,10.0.0.9
SELECT email FROM products WHERE id=810,bob,10.0.0.20
SELECT email FROM inventory WHERE id=198,svc,192.168.1.42
SELECT email FROM inventory WHERE id=64,analyst,192.168.1.32
SELECT name FROM sessions WHERE id=971,svc,192.168.1.54
SELECT created_at FROM sessions WHERE id=897,guest,10.0.0.23
SELECT created_at FROM sessions WHERE id=343,svc,10.0.0.20
SELECT user_id FROM users WHERE id=746,analyst,10.0.0.12
SELECT id FROM inventory WHERE id=401,bob,192.168.1.51
SELECT email FROM inventory WHERE id=541,alice,10.0.0.21
SELECT id FROM reviews WHERE id=126,guest,10.0.0.16
SELECT price FROM reviews WHERE id=519,guest,10.0.0.25
SELECT price FROM orders WHERE id=144,analyst,10.0.0.27
SELECT status FROM products WHERE id=839,alice,192.168.1.52
SELECT id FROM reviews WHERE id=686,charlie,10.0.0.24
SELECT user_id FROM users WHERE id=83,bob,192.168.1.55
SELECT status FROM users WHERE id=834,svc,10.0.0.15
SELECT created_at FROM orders WHERE id=930,analyst,192.168.1.32
SELECT email FROM users WHERE id=345,charlie,192.168.1.29
SELECT price FROM logs WHERE id=140,svc,10.0.0.10
SELECT email FROM users WHERE id=816,charlie,192.168.1.50
SELECT email FROM logs WHERE id=176,guest,192.168.1.38
SELECT created_at FROM reviews WHERE id=369,alice,192.168.1.56
SELECT price FROM users WHERE id=634,analyst,192.168.1.15
SELECT created_at FROM logs WHERE id=327,analyst,192.168.1.22
SELECT status FROM logs WHERE id=895,charlie,10.0.0.6
SELECT status FROM orders WHERE id=663,alice,192.168.1.49
SELECT user_id FROM inventory WHERE id=755,analyst,192.168.1.46
SELECT price FROM users WHERE id=761,admin,192.168.1.54
SELECT name FROM logs WHERE id=266,svc,192.168.1.55
SELECT status FROM orders WHERE id=652,admin,192.168.1.55
SELECT created_at FROM sessions WHERE id=549,guest,192.168.1.12
SELECT price FROM orders WHERE id=763,alice,192.168.1.13
SELECT name FROM users WHERE id=159,charlie,192.168.1.52
SELECT id FROM reviews WHERE id=112,analyst,192.168.1.16
SELECT user_id FROM products WHERE id=434,svc,192.168.1.49
SELECT created_at FROM inventory WHERE id=443,admin,192.168.1.50
SELECT status FROM orders WHERE id=615,alice,192.168.1.54
SELECT status FROM products WHERE id=772,svc,192.168.1.15
SELECT email FROM products WHERE id=53,guest,192.168.1.19
SELECT user_id FROM reviews WHERE id=738,admin,192.168.1.33
SELECT email FROM inventory WHERE id=529,bob,192.168.1.45
SELECT user_id FROM users WHERE id=106,charlie,10.0.0.23
SELECT id FROM reviews WHERE id=115,charlie,192.168.1.47
SELECT user_id FROM users WHERE id=247,alice,192.168.1.59
SELECT user_id FROM sessions WHERE id=729,bob,10.0.0.1
SELECT status FROM products WHERE id=32,admin,192.168.1.23
SELECT price FROM logs WHERE id=419,analyst,192.168.1.38
SELECT created_at FROM users WHERE id=473,analyst,10.0.0.24
SELECT price FROM users WHERE id=698,analyst,10.0.0.27
SELECT price FROM reviews WHERE id=228,guest,192.168.1.22
SELECT status FROM inventory WHERE id=797,svc,192.168.1.45
SELECT id FROM sessions WHERE id=922,bob,10.0.0.28
SELECT user_id FROM reviews WHERE id=651,analyst,192.168.1.12
SELECT id FROM users WHERE id=609,admin,10.0.0.18
SELECT name FROM orders WHERE id=627,charlie,10.0.0.6
SELECT price FROM orders WHERE id=179,guest,192.168.1.49
SELECT created_at FROM inventory WHERE id=180,svc,192.168.1.58
SELECT price FROM sessions WHERE id=907,guest,192.168.1.41
SELECT price FROM users WHERE id=215,alice,10.0.0.21
SELECT price FROM products WHERE id=667,svc,192.168.1.51
SELECT created_at FROM reviews WHERE id=422,guest,192.168.1.10
SELECT email FROM inventory WHERE id=565,analyst,192.168.1.37
SELECT created_at FROM sessions WHERE id=221,charlie,10.0.0.14
SELECT user_id FROM inventory WHERE id=906,analyst,192.168.1.42
SELECT id FROM products WHERE id=309,alice,10.0.0.8
SELECT id FROM orders WHERE id=967,admin,192.168.1.52
SELECT id FROM logs WHERE id=122,charlie,192.168.1.26
SELECT created_at FROM orders WHERE id=380,bob,10.0.0.12
SELECT user_id FROM inventory WHERE id=813,admin,192.168.1.13
SELECT user_id FROM users WHERE id=130,admin,192.168.1.38
SELECT created_at FROM sessions WHERE id=438,admin,192.168.1.43
SELECT created_at FROM orders WHERE id=377,guest,192.168.1.44
SELECT price FROM inventory WHERE id=698,guest,192.168.1.44
SELECT price FROM reviews WHERE id=636,analyst,192.168.1.30
SELECT created_at FROM orders WHERE id=368,svc,192.168.1.23
SELECT user_id FROM users WHERE id=975,svc,10.0.0.7
SELECT id FROM reviews WHERE id=588,charlie,10.0.0.14
SELECT email FROM logs WHERE id=288,charlie,192.168.1.36
SELECT created_at FROM sessions WHERE id=717,analyst,192.168.1.28
SELECT name FROM inventory WHERE id=357,svc,10.0.0.14
SELECT created_at FROM reviews WHERE id=322,alice,192.168.1.15
SELECT name FROM products WHERE id=246,svc,192.168.1.35
SELECT email FROM products WHERE id=757,analyst,10.0.0.11
SELECT user_id FROM orders WHERE id=289,charlie,10.0.0.26
SELECT status FROM products WHERE id=996,charlie,192.168.1.10
SELECT email FROM sessions WHERE id=489,analyst,192.168.1.33
SELECT name FROM logs WHERE id=362,alice,10.0.0.5
SELECT created_at FROM users WHERE id=692,charlie,10.0.0.12
SELECT email FROM orders WHERE id=661,guest,192.168.1.38
SELECT name FROM inventory WHERE id=276,charlie,192.168.1.17
SELECT status FROM inventory WHERE id=110,bob,10.0.0.14
SELECT price FROM inventory WHERE id=162,guest,10.0.0.27
SELECT price FROM products WHERE id=978,charlie,192.168.1.31
SELECT name FROM inventory WHERE id=549,analyst,10.0.0.21
SELECT created_at FROM products WHERE id=994,svc,10.0.0.2
SELECT user_id FROM logs WHERE id=573,guest,192.168.1.34
SELECT name FROM reviews WHERE id=315,alice,192.168.1.52
SELECT id FROM products WHERE id=359,svc,10.0.0.10
SELECT user_id FROM inventory WHERE id=428,charlie,192.168.1.54
SELECT user_id FROM inventory WHERE id=214,guest,192.168.1.56
SELECT name FROM inventory WHERE id=90,bob,10.0.0.11
SELECT status FROM orders WHERE id=371,analyst,192.168.1.54
SELECT user_id FROM sessions WHERE id=264,admin,192.168.1.14
SELECT email FROM inventory WHERE id=613,charlie,192.168.1.26
SELECT name FROM orders WHERE id=243,analyst,192.168.1.29
SELECT user_id FROM sessions WHERE id=371,bob,192.168.1.52
SELECT name FROM orders WHERE id=824,admin,192.168.1.35
SELECT name FROM reviews WHERE id=663,charlie,192.168.1.36
SELECT name FROM orders WHERE id=645,guest,192.168.1.48
SELECT name FROM inventory WHERE id=719,analyst,192.168.1.55
SELECT name FROM products WHERE id=71,svc,192.168.1.10
SELECT name FROM users WHERE id=757,svc,192.168.1.34
SELECT status FROM reviews WHERE id=793,alice,10.0.0.1
SELECT email FROM inventory WHERE id=395,charlie,192.168.1.55
SELECT status FROM products WHERE id=362,svc,10.0.0.15
SELECT email FROM inventory WHERE id=493,bob,192.168.1.53
SELECT user_id FROM reviews WHERE id=965,bob,192.168.1.39
SELECT email FROM inventory WHERE id=411,admin,192.168.1.28
SELECT created_at FROM logs WHERE id=696,analyst,192.168.1.28
SELECT user_id FROM reviews WHERE id=413,bob,10.0.0.1
SELECT status FROM sessions WHERE id=307,admin,192.168.1.30
SELECT status FROM reviews WHERE id=563,admin,192.168.1.25
SELECT user_id FROM orders WHERE id=927,analyst,192.168.1.10
SELECT user_id FROM sessions WHERE id=91,bob,10.0.0.10
SELECT user_id FROM sessions WHERE id=856,analyst,192.168.1.25
SELECT status FROM orders WHERE id=253,bob,10.0.0.7
SELECT name FROM sessions WHERE id=385,admin,192.168.1.45
SELECT status FROM inventory WHERE id=398,analyst,10.0.0.28
SELECT created_at FROM products WHERE id=583,alice,192.168.1.44
SELECT created_at FROM sessions WHERE id=332,svc,192.168.1.32
SELECT created_at FROM orders WHERE id=761,bob,192.168.1.44
SELECT price FROM logs WHERE id=97,admin,192.168.1.28
SELECT name FROM logs WHERE id=678,analyst,192.168.1.34
SELECT price FROM products WHERE id=676,charlie,10.0.0.12
SELECT user_id FROM sessions WHERE id=214,admin,192.168.1.55
SELECT price FROM reviews WHERE id=681,charlie,10.0.0.8
SELECT name FROM products WHERE id=778,svc,192.168.1.28
SELECT price FROM orders WHERE id=894,guest,192.168.1.45
SELECT user_id FROM products WHERE id=227,alice,192.168.1.36
SELECT created_at FROM sessions WHERE id=814,svc,10.0.0.10
SELECT a.id,b.name FROM sessions a JOIN sessions b ON a.id=b.id,admin,192.168.1.12
SELECT a.id,b.name FROM users a JOIN reviews b ON a.id=b.id,guest,10.0.0.26
SELECT a.id,b.name FROM users a JOIN reviews b ON a.id=b.id,bob,192.168.1.29
SELECT a.id,b.name FROM reviews a JOIN users b ON a.id=b.id,charlie,10.0.0.8
SELECT a.id,b.name FROM logs a JOIN products b ON a.id=b.id,charlie,192.168.1.42
SELECT a.id,b.name FROM inventory a JOIN sessions b ON a.id=b.id,analyst,10.0.0.29
SELECT a.id,b.name FROM orders a JOIN logs b ON a.id=b.id,bob,192.168.1.45
SELECT a.id,b.name FROM logs a JOIN inventory b ON a.id=b.id,admin,192.168.1.59
